Status,Opportunity,Billing Request: Billing Request Identifier,Billing Request: Created By,Billing Request: Created Date,Billing Request: Last Modified Date,Purpose of Request,Billing Request: ID,Defect Reason Codes,Months of Service,Defect Root Cause
Complete,NFL Prime Video 2025,Billing Request- 00100026,Elena Salazar Castillo,10/11/2025,11/19/2025,Invoice Revision: Missed Billing,a6JXt3607983,Incorrect Invoice Amount,Jul,Invoice details mismatch with approved campaign.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00100027,Melissa Grant,11/20/2024,3/10/2025,Invoice Revision: Missed Billing,a6Jat2548511,,Sep,Client requested retroactive billing adjustments.
Complete,NASCAR P&Q 2024,Billing Request- 00100028,Connor Mora,3/7/2024,5/28/2024,Invoice Revision: Credit/Rebill,a6JHn1162230,Other Invoice Details,May,
Complete,Retail Media Expansion 2024,Billing Request- 00100029,Laura Jenkins,7/8/2024,9/21/2024,Invoice Revision: Credit/Rebill,a6JHn1669324,Missing Backup Documentation,Aug,Incorrect legal terms delayed PTS.
Blocked,NWSL Halftime Sponsorship 2025,Billing Request- 00100030,Melissa Grant,10/14/2025,2/5/2026,Invoice Revision: Credit/Rebill,a6Jat3970445,Other Invoice Details,Jun,Invoice details mismatch with approved campaign.
Complete,NBA League Pass 2026,Billing Request- 00100031,Andrew Rivera,4/16/2026,5/4/2026,Invoice Revision: Missed Billing,a6JHn1649691,Missing Backup Documentation,Jul,Finance validation process delay.
Complete,NFL Prime Video 2025,Billing Request- 00100032,Laura Jenkins,4/27/2025,5/26/2025,Invoice Revision: Credit/Rebill,a6Jat5682940,Agency Revision Request,Sep; Oct,Missing supporting documentation from vendor.
Ready for Work,Amazon TNF 2024 2025,Billing Request- 00100033,Gabo Munoz,10/2/2025,11/14/2025,Invoice Revision: Credit/Rebill,a6JXt5453786,Other Invoice Details,Mar; Apr,Invoice details mismatch with approved campaign.
Complete,Confluence Academy 2025,Billing Request- 00100034,Melissa Grant,6/10/2025,8/5/2025,Invoice Revision: Credit/Rebill,a6JHn1744682,Other Invoice Details,Sep; Oct,
Complete,NASCAR Apex 2025 2025,Billing Request- 00100035,Connor Mora,12/10/2025,1/5/2026,Invoice Revision: Missed Billing,a6JHn6266630,Agency Revision Request,Oct,
Complete,NWSL Prime Video 2025,Billing Request- 00100036,Tyler Ward,7/29/2025,9/9/2025,Invoice Revision: Credit/Rebill,a6JXt7361002,PO / IO Mismatch,Oct,Missing supporting documentation from vendor.
Complete,NASCAR P&Q 2025,Billing Request- 00100037,Andrew Rivera,1/1/2025,2/9/2025,Invoice Revision: Credit/Rebill,a6JXt6406444,Late Billing Submission,May; Jun,Manual billing entry issue.
Complete,TNF Sponsorship 2025,Billing Request- 00100038,Angelica Herrera Calvo,3/28/2025,6/21/2025,Invoice Revision: Missed Billing,a6JHn2566777,Agency Revision Request,Oct,Manual billing entry issue.
Remove/Inactive,NFL Prime Video 2026,Billing Request- 00100039,Melissa Grant,2/7/2026,2/11/2026,Invoice Revision: Credit/Rebill,a6Jat8640615,Agency Revision Request,Jul,Missing supporting documentation from vendor.
Complete,Amazon TNF 2024 2025,Billing Request- 00100040,Andrew Rivera,5/5/2025,5/24/2025,Invoice Revision: Credit/Rebill,a6JXt9689889,Other Invoice Details,Nov; Dec,Manual billing entry issue.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00100041,Andrew Rivera,2/1/2026,4/1/2026,Invoice Copy,a6JXt6323376,PO / IO Mismatch,Sep; Oct,Missing supporting documentation from vendor.
Complete,NWSL Prime Video 2026,Billing Request- 00100042,Sofia Morales,4/25/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6JXt5652512,Late Billing Submission,Aug,Late media plan changes from client.
Complete,NASCAR Apex 2025 2025,Billing Request- 00100043,Angelica Herrera Calvo,5/27/2025,6/27/2025,Invoice Revision: Credit/Rebill,a6Jat3530518,Late Billing Submission,May,Manual billing entry issue.
Complete,Streaming Bundle Initiative 2024,Billing Request- 00100044,Kevin Parker,7/27/2024,9/8/2024,Invoice Revision: Credit/Rebill,a6JHn7534336,Agency Revision Request,Jan,Missing supporting documentation from vendor.
Complete,NWSL Prime Video 2025,Billing Request- 00100045,Andrew Rivera,6/30/2025,8/8/2025,Invoice Revision: Missed Billing,a6JXt4700025,Missing Backup Documentation,Sep,Missing supporting documentation from vendor.
Waiting on Someone Else,NWSL Halftime Sponsorship 2025,Billing Request- 00100046,Gabo Munoz,7/19/2025,9/1/2025,Invoice Revision: Missed Billing,a6JXt9961107,Late Billing Submission,Jan,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100047,Laura Jenkins,3/11/2025,6/30/2025,Invoice Revision: Credit/Rebill,a6Jat8628588,Incorrect Invoice Amount,Jan; Feb,Late media plan changes from client.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00100048,Connor Mora,4/18/2026,5/9/2026,Invoice Revision: Credit/Rebill,a6JHn4761823,,Feb,Client requested retroactive billing adjustments.
Complete,Retail Media Expansion 2026,Billing Request- 00100049,Andrew Rivera,2/21/2026,5/9/2026,Invoice Revision: Credit/Rebill,a6Jat4656838,Agency Revision Request,Sep,Invoice details mismatch with approved campaign.
Remove/Inactive,NFL Prime Video 2024,Billing Request- 00100050,Kevin Parker,11/6/2024,2/10/2025,Invoice Revision: Credit/Rebill,a6Jat6233774,Agency Revision Request,Jan; Feb,Missing supporting documentation from vendor.
Complete,Retail Media Expansion 2026,Billing Request- 00100051,Kevin Parker,2/20/2026,3/2/2026,Invoice Revision: Missed Billing,a6JXt3030966,,Feb,Invoice details mismatch with approved campaign.
Complete,TNF Sponsorship 2025,Billing Request- 00100052,Melissa Grant,12/5/2025,1/22/2026,Invoice Revision: Credit/Rebill,a6JHn2770648,Incorrect Invoice Amount,May; Jun,Agency submitted updated invoice mapping.
Waiting on Someone Else,DirecTV NASCAR Campaign 2025,Billing Request- 00100053,Melissa Grant,9/25/2025,12/18/2025,Invoice Revision: Credit/Rebill,a6JHn8799287,,Sep,Invoice details mismatch with approved campaign.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00100054,Laura Jenkins,1/23/2026,2/28/2026,Invoice Revision: Credit/Rebill,a6JXt7358385,Other Invoice Details,Jul; Aug,Invoice details mismatch with approved campaign.
Complete,NASCAR Apex 2025 2024,Billing Request- 00100055,Sofia Morales,4/18/2024,6/3/2024,Invoice Revision: Credit/Rebill,a6JHn1170307,Missing Backup Documentation,Mar,Manual billing entry issue.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00100056,Elena Salazar Castillo,9/8/2025,11/19/2025,Invoice Revision: Credit/Rebill,a6Jat2561176,Missing Backup Documentation,Jan; Feb,Manual billing entry issue.
Complete,NWSL Prime Video 2025,Billing Request- 00100057,Andrew Rivera,10/25/2025,12/12/2025,Invoice Revision: Missed Billing,a6JHn6902401,Incorrect Invoice Amount,Oct,Late media plan changes from client.
Complete,NFL Prime Video 2024,Billing Request- 00100058,Kevin Parker,4/8/2024,5/19/2024,Invoice Revision: Missed Billing,a6JHn9801946,Incorrect Invoice Amount,Apr,Manual billing entry issue.
Complete,NASCAR P&Q 2024,Billing Request- 00100059,Sofia Morales,7/3/2024,7/26/2024,Invoice Revision: Credit/Rebill,a6Jat1914794,Incorrect Invoice Amount,May,Finance validation process delay.
Complete,NASCAR Apex 2025 2024,Billing Request- 00100060,Andrew Rivera,1/7/2024,3/21/2024,Invoice Revision: Credit/Rebill,a6Jat5235884,Other Invoice Details,Mar,Missing supporting documentation from vendor.
Complete,NFL Prime Video 2025,Billing Request- 00100061,Angelica Herrera Calvo,10/23/2025,1/12/2026,Invoice Revision: Credit/Rebill,a6JHn2429098,Other Invoice Details,Nov; Dec,Missing supporting documentation from vendor.
Complete,Streaming Bundle Initiative 2025,Billing Request- 00100062,Elena Salazar Castillo,11/13/2025,12/12/2025,Invoice Revision: Credit/Rebill,a6JXt8194570,PO / IO Mismatch,Feb,Incorrect legal terms delayed PTS.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00100063,Tyler Ward,2/23/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6JXt2259379,Other Invoice Details,Mar; Apr,Finance validation process delay.
Complete,NFL Prime Video 2025,Billing Request- 00100064,Angelica Herrera Calvo,8/29/2025,10/6/2025,Invoice Revision: Credit/Rebill,a6JHn2194198,Incorrect Invoice Amount,Jul,Missing supporting documentation from vendor.
Waiting on Someone Else,NBA League Pass 2024,Billing Request- 00100065,Kevin Parker,4/25/2024,7/17/2024,Invoice Revision: Credit/Rebill,a6Jat6160869,Agency Revision Request,Oct,Finance validation process delay.
Complete,NWSL Prime Video 2024,Billing Request- 00100066,Melissa Grant,12/18/2024,1/26/2025,Invoice Revision: Credit/Rebill,a6Jat1668752,Agency Revision Request,Nov,Late media plan changes from client.
Remove/Inactive,Confluence Academy 2024,Billing Request- 00100067,Tyler Ward,4/27/2024,7/23/2024,Invoice Revision: Missed Billing,a6JHn1674975,Late Billing Submission,Sep; Oct,Finance validation process delay.
Remove/Inactive,NWSL Prime Video 2026,Billing Request- 00100068,Laura Jenkins,2/16/2026,5/2/2026,Invoice Revision: Credit/Rebill,a6JHn6591986,Agency Revision Request,Apr,Agency submitted updated invoice mapping.
Blocked,DirecTV NASCAR Campaign 2025,Billing Request- 00100069,Andrew Rivera,12/22/2025,2/24/2026,Invoice Revision: Missed Billing,a6JXt1615675,Other Invoice Details,Nov,Late media plan changes from client.
Complete,Confluence Academy 2025,Billing Request- 00100070,Angelica Herrera Calvo,7/26/2025,11/14/2025,Invoice Revision: Credit/Rebill,a6JHn1909393,PO / IO Mismatch,Dec,Finance validation process delay.
Complete,DirecTV NASCAR Campaign 2025,Billing Request- 00100071,Connor Mora,1/27/2025,2/23/2025,Invoice Revision: Credit/Rebill,a6JXt9132114,Other Invoice Details,Aug,Agency submitted updated invoice mapping.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100072,Connor Mora,1/8/2025,3/20/2025,Invoice Revision: Missed Billing,a6Jat8741810,Agency Revision Request,May,Finance validation process delay.
Waiting on Someone Else,NASCAR Apex 2025 2026,Billing Request- 00100073,Sofia Morales,3/16/2026,5/4/2026,Invoice Copy,a6Jat8663605,Missing Backup Documentation,Jan; Feb,Manual billing entry issue.
Complete,NASCAR Apex 2025 2026,Billing Request- 00100074,Elena Salazar Castillo,2/4/2026,5/9/2026,Invoice Revision: Missed Billing,a6JHn1043037,Agency Revision Request,Oct,Finance validation process delay.
Complete,NASCAR Apex 2025 2026,Billing Request- 00100075,Angelica Herrera Calvo,4/25/2026,5/6/2026,Invoice Revision: Credit/Rebill,a6JHn6398528,Agency Revision Request,Aug,Missing supporting documentation from vendor.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00100076,Tyler Ward,7/29/2024,8/4/2024,Invoice Revision: Missed Billing,a6JHn7477326,Late Billing Submission,Feb,Agency submitted updated invoice mapping.
Complete,Prime Sports NFL 2025,Billing Request- 00100077,Melissa Grant,10/30/2025,12/12/2025,Invoice Revision: Missed Billing,a6Jat3418526,,May,Incorrect legal terms delayed PTS.
Complete,Streaming Bundle Initiative 2025,Billing Request- 00100078,Melissa Grant,5/16/2025,6/29/2025,Invoice Revision: Missed Billing,a6JXt9952696,Incorrect Invoice Amount,Jul; Aug,
Complete,NASCAR P&Q 2024,Billing Request- 00100079,Andrew Rivera,2/5/2024,3/7/2024,Invoice Revision: Credit/Rebill,a6Jat2686231,Missing Backup Documentation,Oct,Client requested retroactive billing adjustments.
Complete,NASCAR Apex 2025 2024,Billing Request- 00100080,Tyler Ward,1/29/2024,3/7/2024,Invoice Revision: Credit/Rebill,a6JHn4020853,Missing Backup Documentation,Mar,Missing supporting documentation from vendor.
Complete,Retail Media Expansion 2025,Billing Request- 00100081,Gabo Munoz,5/4/2025,7/7/2025,Invoice Revision: Missed Billing,a6JHn5283671,,May; Jun,Late media plan changes from client.
Remove/Inactive,NWSL Prime Video 2025,Billing Request- 00100082,Andrew Rivera,3/22/2025,4/1/2025,Invoice Revision: Credit/Rebill,a6JHn5195951,,Oct,Manual billing entry issue.
Complete,NWSL Prime Video 2026,Billing Request- 00100083,Melissa Grant,5/4/2026,5/8/2026,Invoice Copy,a6JHn1368085,Incorrect Invoice Amount,Jan,Client requested retroactive billing adjustments.
Complete,NBA League Pass 2026,Billing Request- 00100084,Connor Mora,5/8/2026,5/7/2026,Invoice Revision: Credit/Rebill,a6JHn3294774,Agency Revision Request,Feb,Late media plan changes from client.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00100085,Tyler Ward,1/9/2026,3/25/2026,Invoice Revision: Missed Billing,a6JHn7970985,Missing Backup Documentation,May,
Complete,NASCAR P&Q 2026,Billing Request- 00100086,Laura Jenkins,4/4/2026,5/5/2026,Invoice Revision: Missed Billing,a6JHn5951651,,Apr,Finance validation process delay.
Complete,NWSL Prime Video 2026,Billing Request- 00100087,Andrew Rivera,2/6/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6JHn3073474,Incorrect Invoice Amount,Sep,Missing supporting documentation from vendor.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00100088,Kevin Parker,4/6/2026,4/20/2026,Invoice Revision: Missed Billing,a6JXt6503032,Missing Backup Documentation,Mar,Finance validation process delay.
Complete,NFL Prime Video 2026,Billing Request- 00100089,Connor Mora,3/19/2026,5/6/2026,Invoice Revision: Credit/Rebill,a6JHn2948178,Missing Backup Documentation,Nov; Dec,Agency submitted updated invoice mapping.
Complete,Streaming Bundle Initiative 2025,Billing Request- 00100090,Andrew Rivera,7/9/2025,10/3/2025,Invoice Revision: Missed Billing,a6JHn2661307,PO / IO Mismatch,Mar; Apr,Late media plan changes from client.
Remove/Inactive,NWSL Prime Video 2024,Billing Request- 00100091,Sofia Morales,7/8/2024,8/5/2024,Invoice Revision: Missed Billing,a6Jat7162857,Agency Revision Request,Dec,Client requested retroactive billing adjustments.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100092,Gabo Munoz,4/8/2025,4/24/2025,Invoice Revision: Missed Billing,a6JXt1358318,,Nov,Manual billing entry issue.
Complete,Retail Media Expansion 2026,Billing Request- 00100093,Tyler Ward,2/22/2026,3/3/2026,Invoice Revision: Missed Billing,a6Jat6512314,,Jan,Late media plan changes from client.
Waiting on Someone Else,Global Consumer Products 2026,Billing Request- 00100094,Gabo Munoz,2/7/2026,2/24/2026,Invoice Revision: Credit/Rebill,a6Jat3211291,Incorrect Invoice Amount,Aug,Invoice details mismatch with approved campaign.
Complete,Amazon NBA Live Sports 2024,Billing Request- 00100095,Laura Jenkins,5/15/2024,5/22/2024,Invoice Revision: Missed Billing,a6JHn8520810,PO / IO Mismatch,Apr,Finance validation process delay.
Complete,Global Consumer Products 2025,Billing Request- 00100096,Melissa Grant,11/11/2025,11/17/2025,Invoice Copy,a6Jat9035982,Late Billing Submission,Apr,Finance validation process delay.
Complete,TNF Sponsorship 2025,Billing Request- 00100097,Melissa Grant,8/16/2025,8/26/2025,Invoice Revision: Credit/Rebill,a6JHn6455706,PO / IO Mismatch,Sep; Oct,Late media plan changes from client.
Waiting on Someone Else,Amazon TNF 2024 2025,Billing Request- 00100098,Melissa Grant,11/6/2025,1/1/2026,Invoice Revision: Missed Billing,a6JXt4607488,Late Billing Submission,Aug,Missing supporting documentation from vendor.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100099,Tyler Ward,8/21/2025,10/12/2025,Invoice Revision: Credit/Rebill,a6JHn7279729,Agency Revision Request,Jul; Aug,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00100100,Kevin Parker,2/13/2024,2/25/2024,Invoice Revision: Credit/Rebill,a6Jat2006313,PO / IO Mismatch,Nov; Dec,Invoice details mismatch with approved campaign.
Remove/Inactive,NWSL Halftime Sponsorship 2025,Billing Request- 00100101,Kevin Parker,7/30/2025,9/14/2025,Invoice Revision: Credit/Rebill,a6JHn2738129,PO / IO Mismatch,Jul,Agency submitted updated invoice mapping.
Waiting on Someone Else,TNF Sponsorship 2025,Billing Request- 00100102,Melissa Grant,4/25/2025,8/12/2025,Invoice Revision: Credit/Rebill,a6JHn4794319,,Nov; Dec,
Complete,NASCAR P&Q 2024,Billing Request- 00100103,Laura Jenkins,12/2/2024,3/19/2025,Invoice Revision: Missed Billing,a6JHn6701311,Other Invoice Details,Jun,Agency submitted updated invoice mapping.
Complete,WNBA Incremental Scatter 2025,Billing Request- 00100104,Andrew Rivera,7/25/2025,8/3/2025,Invoice Revision: Credit/Rebill,a6JHn8043620,Incorrect Invoice Amount,Jun,Invoice details mismatch with approved campaign.
Ready for Work,Confluence Academy 2025,Billing Request- 00100105,Connor Mora,6/16/2025,9/24/2025,Invoice Revision: Credit/Rebill,a6JXt1834876,Incorrect Invoice Amount,May; Jun,Missing supporting documentation from vendor.
Complete,NASCAR P&Q 2025,Billing Request- 00100106,Elena Salazar Castillo,8/15/2025,10/8/2025,Invoice Revision: Credit/Rebill,a6JHn2860421,Agency Revision Request,Jul; Aug,
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100107,Elena Salazar Castillo,1/24/2025,2/22/2025,Invoice Revision: Credit/Rebill,a6Jat3302417,Incorrect Invoice Amount,Nov,Incorrect legal terms delayed PTS.
Complete,Amazon NBA Live Sports 2024,Billing Request- 00100108,Connor Mora,8/8/2024,8/31/2024,Invoice Revision: Credit/Rebill,a6JXt6941939,Late Billing Submission,Feb,Missing supporting documentation from vendor.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00100109,Elena Salazar Castillo,2/9/2024,5/30/2024,Invoice Revision: Credit/Rebill,a6JXt8007741,Other Invoice Details,Jan; Feb,Client requested retroactive billing adjustments.
Complete,NWSL Prime Video 2026,Billing Request- 00100110,Kevin Parker,2/13/2026,5/5/2026,Invoice Revision: Missed Billing,a6Jat8309439,Late Billing Submission,Sep; Oct,Incorrect legal terms delayed PTS.
Complete,NASCAR P&Q 2025,Billing Request- 00100111,Sofia Morales,6/8/2025,9/12/2025,Invoice Revision: Credit/Rebill,a6JXt2913049,PO / IO Mismatch,Jul,Invoice details mismatch with approved campaign.
Complete,NBA Playoffs Campaign 2025,Billing Request- 00100112,Connor Mora,11/27/2025,3/12/2026,Invoice Revision: Credit/Rebill,a6Jat3564729,Missing Backup Documentation,Jul; Aug,Finance validation process delay.
Ready for Work,Global Consumer Products 2026,Billing Request- 00100113,Connor Mora,4/25/2026,5/5/2026,Invoice Revision: Missed Billing,a6Jat8377995,Late Billing Submission,May; Jun,Late media plan changes from client.
Complete,Confluence Academy 2026,Billing Request- 00100114,Elena Salazar Castillo,1/15/2026,3/2/2026,Invoice Revision: Credit/Rebill,a6Jat7186390,Other Invoice Details,Mar,
Ready for Work,Prime Sports NFL 2025,Billing Request- 00100115,Kevin Parker,10/25/2025,1/4/2026,Invoice Revision: Credit/Rebill,a6Jat6394323,Late Billing Submission,Sep; Oct,Agency submitted updated invoice mapping.
Complete,NFL Prime Video 2026,Billing Request- 00100116,Sofia Morales,4/26/2026,5/7/2026,Invoice Revision: Missed Billing,a6JHn9792411,PO / IO Mismatch,Jun,Invoice details mismatch with approved campaign.
Complete,NWSL Prime Video 2025,Billing Request- 00100117,Connor Mora,5/25/2025,7/14/2025,Invoice Revision: Credit/Rebill,a6JXt6614484,Incorrect Invoice Amount,Apr,
Complete,Retail Media Expansion 2025,Billing Request- 00100118,Elena Salazar Castillo,5/26/2025,6/28/2025,Invoice Revision: Credit/Rebill,a6Jat6869018,Agency Revision Request,Jan; Feb,Agency submitted updated invoice mapping.
Complete,Streaming Bundle Initiative 2025,Billing Request- 00100119,Connor Mora,2/13/2025,3/25/2025,Invoice Revision: Credit/Rebill,a6Jat9831414,Agency Revision Request,Mar; Apr,
Complete,NBA Playoffs Campaign 2025,Billing Request- 00100120,Tyler Ward,7/5/2025,8/14/2025,Invoice Revision: Missed Billing,a6Jat4800761,Missing Backup Documentation,Mar,Late media plan changes from client.
Complete,Confluence Academy 2026,Billing Request- 00100121,Kevin Parker,1/26/2026,4/1/2026,Invoice Revision: Missed Billing,a6JXt3198638,Late Billing Submission,May,Agency submitted updated invoice mapping.
Complete,Retail Media Expansion 2024,Billing Request- 00100122,Andrew Rivera,12/20/2024,3/29/2025,Invoice Revision: Credit/Rebill,a6JHn4985095,PO / IO Mismatch,Oct,Finance validation process delay.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00100123,Elena Salazar Castillo,5/2/2024,6/11/2024,Invoice Copy,a6JHn8745704,,Jan; Feb,
Ready for Work,NBA Playoffs Campaign 2025,Billing Request- 00100124,Sofia Morales,3/24/2025,7/7/2025,Invoice Revision: Credit/Rebill,a6JHn7227905,Other Invoice Details,Sep; Oct,Incorrect legal terms delayed PTS.
Waiting on Someone Else,NWSL Halftime Sponsorship 2024,Billing Request- 00100125,Laura Jenkins,3/23/2024,4/27/2024,Invoice Revision: Credit/Rebill,a6Jat8568671,Other Invoice Details,Mar; Apr,Client requested retroactive billing adjustments.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00100126,Tyler Ward,7/11/2025,8/11/2025,Invoice Revision: Credit/Rebill,a6Jat6625238,Missing Backup Documentation,Feb,Late media plan changes from client.
Complete,NWSL Prime Video 2026,Billing Request- 00100127,Angelica Herrera Calvo,5/1/2026,5/8/2026,Invoice Revision: Missed Billing,a6Jat5293691,,May,
Complete,NASCAR P&Q 2026,Billing Request- 00100128,Connor Mora,4/19/2026,5/4/2026,Invoice Revision: Credit/Rebill,a6JHn8669093,Other Invoice Details,Jul; Aug,
Complete,NBA Playoffs Campaign 2024,Billing Request- 00100129,Kevin Parker,9/20/2024,12/3/2024,Invoice Revision: Credit/Rebill,a6JHn5035998,Late Billing Submission,Jun,Incorrect legal terms delayed PTS.
Complete,Confluence Academy 2025,Billing Request- 00100130,Laura Jenkins,7/4/2025,7/13/2025,Invoice Revision: Credit/Rebill,a6JXt7490791,Incorrect Invoice Amount,Jan,Invoice details mismatch with approved campaign.
